Timing,Site,Bag,Shell,Oyster,Height_mm,Length_mm,Dead.Alive
Deployment,Wagon Hill Farm,19,4,11,16,12,
Deployment,Wagon Hill Farm,19,4,12,20,17,
Deployment,Wagon Hill Farm,19,4,13,26,21,
Deployment,Wagon Hill Farm,19,5,1,24,21,
Deployment,Wagon Hill Farm,19,5,2,11,10,
Deployment,Wagon Hill Farm,19,5,3,23,22,
Deployment,Wagon Hill Farm,19,6,1,29,29,
Deployment,Wagon Hill Farm,19,6,2,20,10,
Deployment,Wagon Hill Farm,19,6,3,20,11,
Deployment,Wagon Hill Farm,19,6,4,24,21,
Deployment,Wagon Hill Farm,19,6,5,20,12,
Deployment,Wagon Hill Farm,20,1,1,21,14,
Deployment,Wagon Hill Farm,20,1,2,20,15,
Deployment,Wagon Hill Farm,20,1,3,27,18,
Deployment,Wagon Hill Farm,20,2,1,24,14,
Deployment,Wagon Hill Farm,20,2,2,15,12,
Deployment,Wagon Hill Farm,20,3,1,15,14,
Deployment,Wagon Hill Farm,20,3,2,14,10,
Deployment,Wagon Hill Farm,20,3,3,13,10,
Deployment,Wagon Hill Farm,20,4,1,20,14,
Deployment,Wagon Hill Farm,20,4,2,21,13,
Deployment,Wagon Hill Farm,20,4,3,20,14,
Deployment,Wagon Hill Farm,20,4,4,18,13,
Deployment,Wagon Hill Farm,20,4,5,9,7,
Deployment,Wagon Hill Farm,20,4,6,8,5,
Deployment,Wagon Hill Farm,20,4,7,13,10,
Deployment,Wagon Hill Farm,20,4,8,20,16,
Deployment,Wagon Hill Farm,20,4,9,21,20,
Deployment,Wagon Hill Farm,20,5,2,11,10,
Deployment,Wagon Hill Farm,20,5,3,26,26,
Deployment,Wagon Hill Farm,20,5,4,28,27,
Deployment,Wagon Hill Farm,20,5,5,24,21,
Deployment,Wagon Hill Farm,20,6,2,20,17,
Deployment,Wagon Hill Farm,20,6,3,25,16,
Deployment,Wagon Hill Farm,20,6,4,11,8,
Deployment,Wagon Hill Farm,20,6,5,10,10,
Collection,Cutts Cove,6,1,1,16,,A
Collection,Cutts Cove,6,1,2,11,,D
Collection,Cutts Cove,6,2,1,14,,A
Collection,Cutts Cove,6,2,2,14,,D
Collection,Cutts Cove,6,2,3,11,,D
Collection,Cutts Cove,6,2,4,16,,A
Collection,Cutts Cove,6,3,1,19,,A
Collection,Cutts Cove,6,3,2,20,,A
Collection,Cutts Cove,6,3,3,18,,A
Collection,Cutts Cove,6,3,4,19,,D
Collection,Cutts Cove,6,3,5,15,,A
Collection,Cutts Cove,6,3,6,11,,A
Collection,Cutts Cove,6,4,1,14,,D
Collection,Cutts Cove,6,4,2,18,,D
Collection,Cutts Cove,6,4,3,21,,A
Collection,Cutts Cove,6,5,1,20,,D
Collection,Cutts Cove,6,5,2,27,,D
Collection,Cutts Cove,6,5,3,20,,A
Collection,Cutts Cove,6,5,4,20,,A
Collection,Cutts Cove,6,5,5,16,,D
Collection,Cutts Cove,6,5,6,16,,A
Collection,Cutts Cove,6,6,1,26,,A
Collection,Cutts Cove,6,6,2,25,,A
Collection,Cutts Cove,6,6,3,16,,D
Collection,Cutts Cove,6,6,4,11,,A
Collection,Cutts Cove,1,1,1,17,,A
Collection,Cutts Cove,1,1,2,27,,D
Collection,Cutts Cove,1,1,3,14,,D
Collection,Cutts Cove,1,1,4,18,,D
Collection,Cutts Cove,1,1,5,25,,D
Collection,Cutts Cove,1,1,6,19,,D
Collection,Cutts Cove,1,1,7,20,,D
Collection,Cutts Cove,1,1,8,10,,D
Collection,Cutts Cove,1,1,9,11,,D
Collection,Cutts Cove,1,1,10,12,,A
Collection,Cutts Cove,1,1,11,17,,A
Collection,Cutts Cove,1,1,12,25,,A
Collection,Cutts Cove,1,2,1,28,,A
Collection,Cutts Cove,1,2,2,19,,A
Collection,Cutts Cove,1,2,3,19,,D
Collection,Cutts Cove,1,2,4,16,,A
Collection,Cutts Cove,1,3,1,22,,D
