system:index,B,G,N,R,training_poly,.geo
245,124.0,136.0,126.0,123.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93412342914823,43.02471620979963]}"
246,129.0,147.0,127.0,126.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75103779109182,43.04906953715211]}"
247,131.0,136.0,138.0,119.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.76627321831049,43.08455299087483]}"
248,149.0,163.0,148.0,148.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90309561923473,43.05666030130292]}"
249,139.0,148.0,109.0,138.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84086033635093,43.068077888564076]}"
250,125.0,133.0,104.0,123.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73396980069356,43.06209510877184]}"
251,134.0,154.0,169.0,125.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83508416907405,43.185433797281455]}"
252,131.0,149.0,129.0,126.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90279917519098,43.05685793066542]}"
253,134.0,144.0,80.0,130.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73370928926116,43.062193923453094]}"
254,153.0,178.0,179.0,157.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75145999927535,43.04899767192938]}"
255,129.0,141.0,138.0,123.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74015919300113,43.048665295274255]}"
256,148.0,172.0,175.0,148.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75137016774694,43.048800042566874]}"
257,153.0,166.0,142.0,158.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73985376580454,43.048728177344145]}"
258,144.0,155.0,119.0,142.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74836081154514,43.06914688375218]}"
259,132.0,159.0,149.0,129.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90312256869326,43.05679504859554]}"
